Date,Open,High,Low,Close,Adj Close,Volume,CName,SGRP
14-10-2019,8320.832031,8390.208984,8284.130859,8374.686523,8374.686523,15151387859,AMAZON,H1N1
15-10-2019,8373.458008,8410.714844,8182.706543,8205.369141,8205.369141,15220412631,AMAZON,H1N1
16-10-2019,8204.674805,8216.8125,7985.089844,8047.526855,8047.526855,16071646995,AMAZON,H1N1
17-10-2019,8047.8125,8134.831543,8000.942871,8103.911133,8103.911133,14313052244,AMAZON,H1N1
18-10-2019,8100.933594,8138.413574,7902.164063,7973.20752,7973.20752,15651592610,AMAZON,H1N1
19-10-2019,7973.803711,8082.629395,7944.776855,7988.560547,7988.560547,13797825640,AMAZON,H1N1
20-10-2019,7997.807129,8281.818359,7949.439453,8222.078125,8222.078125,15504249442,AMAZON,H1N1
21-10-2019,8225.115234,8296.694336,8196.416016,8243.720703,8243.720703,15868748865,AMAZON,H1N1
22-10-2019,8243.402344,8296.651367,8074.462891,8078.203125,8078.203125,16803377856,AMAZON,H1N1
23-10-2019,8076.228516,8092.999512,7469.322754,7514.671875,7514.671875,21942878957,AMAZON,H1N1
24-10-2019,7509.728027,7532.867676,7446.98877,7493.48877,7493.48877,16268708848,AMAZON,H1N2
25-10-2019,7490.703125,8691.540039,7479.984375,8660.700195,8660.700195,28705065488,AMAZON,H1N2
26-10-2019,8667.577148,10021.74414,8662.62207,9244.972656,9244.972656,44496255608,AMAZON,H1N2
27-10-2019,9241.707031,9749.529297,9112.541992,9551.714844,9551.714844,32593129500,AMAZON,H1N2
28-10-2019,9565.101563,9805.118164,9256.148438,9256.148438,9256.148438,30948255331,AMAZON,H1N2
29-10-2019,9248.44043,9516.180664,9232.648438,9427.6875,9427.6875,28426779937,AMAZON,H1N2
30-10-2019,9422.462891,9426.874023,9085.370117,9205.726563,9205.726563,27706531577,AMAZON,H1N2
31-10-2019,9202.458008,9383.161133,9028.717773,9199.584961,9199.584961,26583653946,AMAZON,H1N2
01-11-2019,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,AMAZON,H1N2
02-11-2019,9259.783203,9377.486328,9249.587891,9324.717773,9324.717773,21242676385,AMAZON,H1N2
03-11-2019,9324.787109,9379.806641,9141.251953,9235.354492,9235.354492,21132220847,AMAZON,H1N3
04-11-2019,9235.607422,9505.051758,9191.485352,9412.612305,9412.612305,26170255634,AMAZON,H1N3
05-11-2019,9413.004883,9457.417969,9256.931641,9342.527344,9342.527344,26198609047,AMAZON,H1N3
06-11-2019,9340.864258,9423.237305,9305.90918,9360.879883,9360.879883,23133895764,AMAZON,H1N3
07-11-2019,9352.393555,9368.476563,9202.353516,9267.561523,9267.561523,22700383838,AMAZON,H1N3
08-11-2019,9265.368164,9272.759766,8775.53418,8804.880859,8804.880859,24333037836,AMAZON,H1N3
09-11-2019,8809.46875,8891.818359,8793.163086,8813.582031,8813.582031,17578630605,AMAZON,H1N3
10-11-2019,8812.489258,9103.826172,8806.162109,9055.526367,9055.526367,20587919881,AMAZON,H1N3
11-11-2019,9056.917969,9081.279297,8700.608398,8757.788086,8757.788086,20265510765,AMAZON,H1N3
12-11-2019,8759.751953,8853.768555,8685.427734,8815.662109,8815.662109,20309769107,AMAZON,H1N3
13-11-2019,8812.033203,8836.841797,8761.651367,8808.262695,8808.262695,17545755404,AMAZON,H1N4
14-11-2019,8811.936523,8826.943359,8692.551758,8708.094727,8708.094727,19084739974,AMAZON,H1N4
15-11-2019,8705.708008,8730.873047,8484.84375,8491.992188,8491.992188,21796856471,AMAZON,H1N4
16-11-2019,8491.166016,8591.99707,8473.973633,8550.760742,8550.760742,16495389808,AMAZON,H1N4
17-11-2019,8549.470703,8727.789063,8500.967773,8577.975586,8577.975586,18668638896,AMAZON,H1N4
18-11-2019,8573.980469,8653.280273,8273.573242,8309.286133,8309.286133,21579470673,AMAZON,H1N4
